,category,place,ad_type,year_of_construction,Advertiser,Room_number,Area,Deposit,Lease
3448,خانه و ویلا,تهران صادقیه,ارائه,۱۳۹۴,شخصی,سه,۱۳۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
3449,خانه و ویلا,تهران مجیدیه,ارائه,۱۳۷۵,شخصی,دو,۴۵,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
3450,خانه و ویلا,تهران سید خندان,ارائه,۱۳۷۲,مشاور املاک,سه,۲۲۵,۶۵۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰ تومان
3451,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۵,شخصی,دو,۹۵,۵۰٫۰۰۰٫۰۰۰ تومان,۲۲٫۰۰۰٫۰۰۰ تومان
3452,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۵,شخصی,یک,۱۰۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3453,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۸۸,مشاور املاک,پنج یا بیشتر,۴۰۰,۱٫۸۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
3454,خانه و ویلا,تهران شهر ری,ارائه,۱۳۷۵,مشاور املاک,یک,۶۰,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۳۵۰٫۰۰۰ تومان
3455,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۹۸,شخصی,دو,۱۹۰۰,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۳۰۰٫۰۰۰ تومان
3456,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۱,مشاور املاک,سه,۲۵۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۱۸٫۰۰۰٫۰۰۰ تومان
3457,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۸۰,شخصی,دو,۱۲۵,۱۸۰٫۰۰۰٫۰۰۰ تومان,توافقی
3458,خانه و ویلا,تهران خانی‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,چهار,۱۲۰,۱۶۵٫۰۰۰٫۰۰۰ تومان,توافقی
3459,خانه و ویلا,تهران الهیه,ارائه,۱۳۹۲,مشاور املاک,سه,۱۰۰۰,مجانی,مجانی
3460,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۹,مشاور املاک,دو,۷۵,۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۶۰۰٫۰۰۰ تومان
3461,خانه و ویلا,تهران خانی‌آباد,ارائه,۱۳۷۲,مشاور املاک,یک,۱۲۰,۱۹۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
3462,خانه و ویلا,تهران شمس‌آباد,ارائه,۱۳۷۱,شخصی,سه,۱۰۰,۲۱۰٫۰۰۰٫۰۰۰ تومان,توافقی
3463,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۰,مشاور املاک,سه,۲۵۰,توافقی,توافقی
3464,خانه و ویلا,تهران جنت‌آباد جنوبی,ارائه,۱۳۹۲,مشاور املاک,دو,۷۸,۲۳۰٫۰۰۰٫۰۰۰ تومان,توافقی
3465,خانه و ویلا,تهران رودهن,ارائه,۱۳۹۰,شخصی,دو,۲۰۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
3466,خانه و ویلا,تهران شاهین,ارائه,۱۳۸۳,شخصی,دو,۷۳,۱۶۰٫۰۰۰٫۰۰۰ تومان,توافقی
3467,خانه و ویلا,تهران آذربایجان,ارائه,۱۳۸۰,شخصی,یک,۵۰,توافقی,۲۵۰٫۰۰۰ تومان
3468,خانه و ویلا,تهران اختیاریه,ارائه,۱۳۷۵,شخصی,دو,۱۴۰,توافقی,توافقی
3469,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۸,مشاور املاک,چهار,۳۵۰,۱٫۸۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
3470,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۵,شخصی,دو,۱۵۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3471,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,سه,۸۵۰,۱٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
3472,خانه و ویلا,تهران پونک,ارائه,۱۳۸۳,مشاور املاک,دو,۱۲۵,۳۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
3473,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۰,مشاور املاک,چهار,۳۰۰,۱٫۵۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
3474,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۸۰,شخصی,پنج یا بیشتر,۳۵۰,توافقی,توافقی
3475,خانه و ویلا,تهران نیاوران,ارائه,۱۳۸۰,شخصی,پنج یا بیشتر,۷۰۰,توافقی,توافقی
3476,خانه و ویلا,تهران نیاوران,ارائه,۱۳۸۰,شخصی,پنج یا بیشتر,۶۰۰,توافقی,توافقی
3477,خانه و ویلا,تهران مجیدیه,ارائه,۱۳۸۰,شخصی,دو,۱۱۶,۵۰٫۰۰۰٫۰۰۰ تومان,۲٫۵۰۰٫۰۰۰ تومان
3478,خانه و ویلا,تهران عباس‌آباد,ارائه,قبل از ۱۳۷۰,مشاور املاک,پنج یا بیشتر,۲۵۰,۶۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
3479,خانه و ویلا,تهران میدان انقلاب,ارائه,۱۳۷۱,مشاور املاک,پنج یا بیشتر,۱۵۰۰,توافقی,توافقی
3480,خانه و ویلا,تهران پیروزی,ارائه,۱۳۸۹,شخصی,یک,۷۵,۴۰٫۰۰۰٫۰۰۰ تومان,۱٫۷۰۰٫۰۰۰ تومان
3481,خانه و ویلا,تهران میدان ولیعصر,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۴۵۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱۸٫۰۰۰٫۰۰۰ تومان
3482,خانه و ویلا,تهران رباط کریم,ارائه,۱۳۹۷,شخصی,دو,۱۲۰,۲۰٫۰۰۰٫۰۰۰ تومان,مجانی
3483,خانه و ویلا,تهران امیرآباد,ارائه,۱۳۷۱,شخصی,سه,۱۵۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۴٫۵۰۰٫۰۰۰ تومان
3484,خانه و ویلا,تهران شهر ری,ارائه,۱۳۸۰,شخصی,دو,۱۶۰,۱۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3485,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۹۰,مشاور املاک,بدون اتاق,۲۰۰,۲۰٫۰۰۰٫۰۰۰ تومان,۴٫۰۰۰٫۰۰۰ تومان
3486,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۰,مشاور املاک,چهار,۲۰۰,۱٫۵۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
3487,خانه و ویلا,تهران اقدسیه,ارائه,۱۳۸۸,شخصی,پنج یا بیشتر,۱۵۰۰,۱۵۰٫۰۰۰ تومان,۱۵۰٫۰۰۰ تومان
3488,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,مشاور املاک,یک,۵۰۰۰,توافقی,توافقی
3489,خانه و ویلا,تهران دربند,ارائه,۱۳۸۰,مشاور املاک,چهار,۲۵۰,۴۲۰٫۰۰۰٫۰۰۰ تومان,۱۹٫۰۰۰٫۰۰۰ تومان
3490,خانه و ویلا,تهران نیاوران,ارائه,۱۳۸۸,مشاور املاک,پنج یا بیشتر,۳۵۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۸۰٫۰۰۰٫۰۰۰ تومان
3491,خانه و ویلا,تهران شهرک محلاتی,ارائه,۱۳۸۰,شخصی,سه,۱۸۰,۵۵۰٫۰۰۰٫۰۰۰ تومان,توافقی
3492,خانه و ویلا,تهران پرند,ارائه,۱۳۹۳,شخصی,دو,۱۶۰,۴۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3493,خانه و ویلا,تهران اندیشه,ارائه,۱۳۸۴,مشاور املاک,چهار,۲۶۰,توافقی,توافقی
3494,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۹۸,شخصی,یک,۶۰,۳۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
3495,خانه و ویلا,تهران بومهن,ارائه,۱۳۹۸,شخصی,دو,۹۵,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
3496,خانه و ویلا,تهران ستارخان,ارائه,۱۳۷۹,مشاور املاک,سه,۱۳۰,۲۶۰٫۰۰۰٫۰۰۰ تومان,توافقی
3497,خانه و ویلا,تهران فشم,ارائه,۱۳۹۸,مشاور املاک,دو,۱۰۰,۱۴۰٫۰۰۰٫۰۰۰ تومان,مجانی
3498,خانه و ویلا,تهران افسریه,ارائه,۱۳۷۳,مشاور املاک,یک,۱۲۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
3499,خانه و ویلا,تهران ونک,ارائه,۱۳۷۵,مشاور املاک,سه,۲۴۰,توافقی,توافقی
3500,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۱۳۰۰,۷۰۰٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰٫۰۰۰ تومان
3501,خانه و ویلا,تهران سلیمانیه,ارائه,قبل از ۱۳۷۰,شخصی,چهار,۱۶۳,توافقی,توافقی
3502,خانه و ویلا,تهران ستارخان,ارائه,۱۳۸۵,مشاور املاک,دو,۲۱۰,توافقی,توافقی
