,category,place,ad_type,year_of_construction,Advertiser,Room_number,Area,Deposit,Lease
0,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۵,شخصی,یک,۶۰۰,توافقی,توافقی
1,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,چهار,۳۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۱۲٫۰۰۰٫۰۰۰ تومان
2,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۲,شخصی,یک,۸۵,۶۷٫۰۰۰٫۰۰۰ تومان,مجانی
3,خانه و ویلا,تهران افسریه,ارائه,۱۳۹۶,شخصی,یک,۱۵۰۰,۱۶۰٫۰۰۰٫۰۰۰ تومان,توافقی
4,خانه و ویلا,تهران ورامین,ارائه,۱۳۷۷,شخصی,سه,۹۵,۴۵٫۰۰۰٫۰۰۰ تومان,۲۵۰٫۰۰۰ تومان
5,خانه و ویلا,تهران جیحون,ارائه,قبل از ۱۳۷۰,شخصی,پنج ,۱۶۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
6,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۶,شخصی,چهار,۱۲۰۰,توافقی,توافقی
7,خانه و ویلا,تهران پرند,ارائه,۱۳۸۷,شخصی,دو,۲۰۸,۶۵٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
8,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۳,شخصی,دو,۱۴۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۴٫۰۰۰٫۰۰۰ تومان
9,خانه و ویلا,تهران نظام‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,بدون اتاق,۴۰,۵٫۰۰۰٫۰۰۰ تومان,۷۵۰٫۰۰۰ تومان
10,خانه و ویلا,تهران فلاح,ارائه,۱۳۸۰,مشاور املاک,دو,۸۱,توافقی,توافقی
11,خانه و ویلا,تهران نازی‌آباد,ارائه,۱۳۷۱,مشاور املاک,چهار,۱۸۵,۲۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
12,خانه و ویلا,تهران ورامین,ارائه,۱۳۸۸,شخصی,دو,۱۱۰,۴۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
13,خانه و ویلا,تهران فاطمی,ارائه,۱۳۹۸,شخصی,دو,۲۰۰,توافقی,۴۵۰٫۰۰۰ تومان
14,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۵,مشاور املاک,دو,۱۱۰,۶۰٫۰۰۰٫۰۰۰ تومان,۱٫۷۰۰٫۰۰۰ تومان
15,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۲,مشاور املاک,پنج یا بیشتر,۶۰۰,توافقی,توافقی
16,خانه و ویلا,تهران شهرک فردوس,ارائه,۱۳۸۱,مشاور املاک,یک,۶۰,۷٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
17,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۷,مشاور املاک,یک,۱۱۰,۶۰٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
18,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۸۰,مشاور املاک,پنج ,۳۵۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
19,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۷۵,مشاور املاک,دو,۱۲۵,۱۰۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
20,خانه و ویلا,تهران شهرک قدس,ارائه,۱۳۸۵,مشاور املاک,سه,۱۷۵,۶۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
21,خانه و ویلا,تهران دارآباد,ارائه,۱۳۸۸,شخصی,بدون اتاق,۱۰,توافقی,توافقی
22,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۸۱,مشاور املاک,چهار,۲۸۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۵٫۰۰۰٫۰۰۰ تومان
23,خانه و ویلا,تهران فشم,ارائه,۱۳۷۵,شخصی,دو,۸۰,۳۵٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
24,خانه و ویلا,تهران سلسبیل,ارائه,۱۳۹۵,شخصی,سه,۱۱۵۰,توافقی,توافقی
25,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۵,شخصی,سه,۳۰۰۰,۱٫۵۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
26,خانه و ویلا,تهران فلاح,ارائه,قبل از ۱۳۷۰,شخصی,سه,۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
27,خانه و ویلا,تهران پونک,ارائه,۱۳۹۶,شخصی,دو,۴۳۰,توافقی,۴۰۰٫۰۰۰ تومان
28,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۷,شخصی,یک,۵۵,۲۰٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
29,خانه و ویلا,تهران دروس,ارائه,۱۳۹۴,مشاور املاک,سه,۱۶۵,۳۰۰٫۰۰۰٫۰۰۰ تومان,۸٫۵۰۰٫۰۰۰ تومان
30,خانه و ویلا,تهران نواب,ارائه,قبل از ۱۳۷۰,شخصی,دو,۶۵,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۸۰۰٫۰۰۰ تومان
31,خانه و ویلا,تهران اندیشه,ارائه,۱۳۹۶,مشاور املاک,دو,۱۲۵,۷۵٫۰۰۰٫۰۰۰ تومان,۱٫۱۰۰٫۰۰۰ تومان
32,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۹۰,مشاور املاک,پنج یا بیشتر,۳۵۰,توافقی,توافقی
33,خانه و ویلا,تهران جی,ارائه,قبل از ۱۳۷۰,مشاور املاک,چهار,۵۵,۱۵٫۰۰۰٫۰۰۰ تومان,۲٫۵۰۰٫۰۰۰ تومان
34,خانه و ویلا,تهران جردن,ارائه,۱۳۷۱,مشاور املاک,پنج یا بیشتر,۷۰۰,۱٫۱۰۰٫۰۰۰٫۰۰۰ تومان,۲۵٫۰۰۰٫۰۰۰ تومان
35,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۱,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
36,خانه و ویلا,تهران بومهن,ارائه,۱۳۹۲,شخصی,یک,۱۰۰۰,۸۰۰٫۰۰۰ تومان,توافقی
37,خانه و ویلا,تهران شهرک ولیعصر,ارائه,۱۳۷۷,شخصی,یک,۳۰,۱۰٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
38,خانه و ویلا,تهران مولوی,ارائه,۱۳۸۰,شخصی,چهار,۶۰,۴۰٫۰۰۰٫۰۰۰ تومان,۹۵۰٫۰۰۰ تومان
39,خانه و ویلا,تهران یوسف‌آباد,ارائه,۱۳۷۷,شخصی,پنج یا بیشتر,۳۶۰,توافقی,توافقی
40,خانه و ویلا,تهران رودهن,ارائه,۱۳۸۳,شخصی,چهار,۵۰۰,۶۹۰٫۰۰۰٫۰۰۰ تومان,توافقی
41,خانه و ویلا,تهران تهران‌سر,ارائه,۱۳۸۰,مشاور املاک,یک,۵۰,۱۰٫۰۰۰٫۰۰۰ تومان,۸۰۰٫۰۰۰ تومان
42,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۵,شخصی,دو,۶۶۰,مجانی,۶۰۰٫۰۰۰ تومان
43,خانه و ویلا,تهران شهرک گلستان غربی,ارائه,۱۳۸۴,شخصی,سه,۱۸۰,۸۰٫۰۰۰٫۰۰۰ تومان,۴٫۸۰۰٫۰۰۰ تومان
44,خانه و ویلا,تهران نیاوران,ارائه,قبل از ۱۳۷۰,مشاور املاک,پنج یا بیشتر,۵۰۰,۱٫۸۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
45,خانه و ویلا,تهران قیامدشت,ارائه,۱۳۹۶,شخصی,یک,۳۰,۱۰٫۰۰۰٫۰۰۰ تومان,۷۰۰٫۰۰۰ تومان
46,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۳,مشاور املاک,سه,۲۰۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۵٫۰۰۰٫۰۰۰ تومان
47,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۳,شخصی,پنج یا بیشتر,۳۸۰,۳۵۰٫۰۰۰٫۰۰۰ تومان,۳۳٫۰۰۰٫۰۰۰ تومان
48,خانه و ویلا,تهران مطهری,ارائه,۱۳۹۱,شخصی,دو,۹۰,توافقی,۴۰۰٫۰۰۰ تومان
49,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۹۶,مشاور املاک,سه,۱۳۵,توافقی,توافقی
50,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۶,شخصی,سه,۱۸۵,۲۷۰٫۰۰۰٫۰۰۰ تومان,توافقی
51,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,یک,۲۰۰۰,۲٫۳۰۰٫۰۰۰ تومان,۲٫۳۰۰٫۰۰۰ تومان
52,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۵,شخصی,چهار,۲۷۰,۱٫۴۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
53,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,مشاور املاک,یک,۱۰۰۰,توافقی,توافقی
54,خانه و ویلا,تهران خزانه,ارائه,۱۳۹۸,شخصی,یک,۴۰,۲۰٫۰۰۰٫۰۰۰ تومان,۸۵۰٫۰۰۰ تومان
55,خانه و ویلا,تهران پونک,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۱۰,توافقی,توافقی
56,خانه و ویلا,تهران نیاوران,ارائه,قبل از ۱۳۷۰,مشاور املاک,پنج یا بیشتر,۶۵۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۳۰٫۰۰۰٫۰۰۰ تومان
57,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۷۴,شخصی,یک,۳۰,۱۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
58,خانه و ویلا,تهران مجیدیه,ارائه,۱۳۷۱,مشاور املاک,یک,۶۵,۹۰٫۰۰۰٫۰۰۰ تومان,مجانی
59,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۴,مشاور املاک,دو,۳۲۰,۲٫۵۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
60,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,سه,۴۰۰۰,۸۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
61,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,دو,۱۰۰۰,توافقی,توافقی
62,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۷۹,شخصی,دو,۱۲۵,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۲۰۰٫۰۰۰ تومان
63,خانه و ویلا,تهران الهیه,ارائه,۱۳۸۵,مشاور املاک,چهار,۴۵۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۴۲٫۰۰۰٫۰۰۰ تومان
64,خانه و ویلا,تهران پونک,ارائه,۱۳۹۷,شخصی,سه,۳۰۰۰,توافقی,توافقی
65,خانه و ویلا,تهران پونک,ارائه,۱۳۹۸,شخصی,دو,۱۰۰۰,توافقی,توافقی
66,خانه و ویلا,تهران پونک,ارائه,۱۳۹۸,شخصی,دو,۵۰۰,توافقی,توافقی
67,خانه و ویلا,تهران منیریه,ارائه,۱۳۸۷,شخصی,دو,۸۰,۷۰٫۰۰۰٫۰۰۰ تومان,۱٫۸۰۰٫۰۰۰ تومان
68,خانه و ویلا,تهران طرشت,ارائه,۱۳۹۵,شخصی,دو,۷۰,۴۰٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
69,خانه و ویلا,تهران آذری,ارائه,قبل از ۱۳۷۰,شخصی,دو,۴۰,۱۵٫۰۰۰٫۰۰۰ تومان,۷۵۰٫۰۰۰ تومان
70,خانه و ویلا,تهران فاطمی,ارائه,قبل از ۱۳۷۰,شخصی,پنج یا بیشتر,۲۳۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۴٫۰۰۰٫۰۰۰ تومان
71,خانه و ویلا,تهران خزانه,ارائه,قبل از ۱۳۷۰,شخصی,بدون اتاق,۵۰,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
72,خانه و ویلا,تهران پاسداران,ارائه,۱۳۸۳,شخصی,سه,۲۰۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
73,خانه و ویلا,تهران تهران‌سر,ارائه,قبل از ۱۳۷۰,شخصی,یک,۵۰,۶۰٫۰۰۰٫۰۰۰ تومان,توافقی
74,خانه و ویلا,تهران لواسان,ارائه,۱۳۸۶,شخصی,سه,۴۰۰,توافقی,توافقی
75,خانه و ویلا,تهران عباس‌آباد,ارائه,۱۳۷۸,مشاور املاک,پنج یا بیشتر,۴۵۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,۳۰٫۰۰۰٫۰۰۰ تومان
76,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۹,مشاور املاک,دو,۸۰,۸۰٫۰۰۰٫۰۰۰ تومان,مجانی
77,خانه و ویلا,تهران میدان آزادی,ارائه,شخصی,نیست,یک,۵۰۰,توافقی,توافقی
78,خانه و ویلا,تهران فشم,ارائه,۱۳۹۷,مشاور املاک,دو,۸۰,۵۰٫۰۰۰٫۰۰۰ تومان,۴٫۰۰۰٫۰۰۰ تومان
79,خانه و ویلا,تهران دربند,ارائه,۱۳۹۴,مشاور املاک,دو,۷۴,۲۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
80,خانه و ویلا,تهران قرچک,ارائه,۱۳۹۵,شخصی,یک,۵۵,۳۵٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰ تومان
81,خانه و ویلا,تهران شهریار,ارائه,۱۳۸۸,شخصی,دو,۱۱۶,۳۰٫۰۰۰٫۰۰۰ تومان,۴۰۰٫۰۰۰ تومان
82,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۹۰,شخصی,پنج یا بیشتر,۱۱۰۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
83,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۹۶,شخصی,سه,۱۰۰۰,توافقی,توافقی
84,خانه و ویلا,تهران زعفرانیه,ارائه,قبل از ۱۳۷۰,مشاور املاک,دو,۱۳۴,۷۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
85,خانه و ویلا,تهران خزانه,ارائه,قبل از ۱۳۷۰,شخصی,دو,۶۰,۱۵٫۰۰۰٫۰۰۰ تومان,۷۰۰٫۰۰۰ تومان
86,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,دو,۵۰۰,۷۰۰٫۰۰۰ تومان,۷۰۰٫۰۰۰ تومان
87,خانه و ویلا,تهران تهرانپارس غربی,ارائه,۱۳۹۰,شخصی,چهار,۴۰۰,۱٫۱۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
88,خانه و ویلا,تهران الهیه,ارائه,۱۳۷۵,مشاور املاک,پنج یا بیشتر,۵۲۵,توافقی,توافقی
89,خانه و ویلا,تهران دروس,ارائه,۱۳۹۸,مشاور املاک,پنج یا بیشتر,۱۳۰۰,۵٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۲۵۰٫۰۰۰٫۰۰۰ تومان
90,خانه و ویلا,تهران دروس,ارائه,۱۳۸۸,مشاور املاک,چهار,۵۵۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۳۵٫۰۰۰٫۰۰۰ تومان
91,خانه و ویلا,تهران کامرانیه,ارائه,۱۳۸۳,مشاور املاک,چهار,۶۵۰,۷۰۰٫۰۰۰٫۰۰۰ تومان,۵۵٫۰۰۰٫۰۰۰ تومان
92,خانه و ویلا,تهران جمهوری,ارائه,قبل از ۱۳۷۰,مشاور املاک,پنج یا بیشتر,۳۴۰,توافقی,توافقی
93,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۸,شخصی,دو,۶۰۰,توافقی,توافقی
94,خانه و ویلا,تهران اندیشه,ارائه,۱۳۹۴,شخصی,دو,۱۲۰۰,توافقی,توافقی
95,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۷۵,مشاور املاک,پنج یا بیشتر,۳۵۰,توافقی,توافقی
96,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۸,شخصی,دو,۷۰۰,۶۵۰٫۰۰۰ تومان,توافقی
97,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۸۲,مشاور املاک,پنج یا بیشتر,۱۲۰۰,توافقی,توافقی
98,خانه و ویلا,تهران قلهک,ارائه,۱۳۸۷,شخصی,چهار,۳۴۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۱۲۳٫۴۵۶٫۰۰۰ تومان
99,خانه و ویلا,تهران نیاوران,ارائه,۱۳۷۵,مشاور املاک,پنج یا بیشتر,۵۰۰,۲٫۰۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
100,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۸۲,مشاور املاک,سه,۲۰۰,توافقی,توافقی
101,خانه و ویلا,تهران چیتگر,ارائه,۱۳۷۵,شخصی,دو,۲۰۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۶٫۰۰۰٫۰۰۰ تومان
102,خانه و ویلا,تهران الهیه,ارائه,۱۳۹۸,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
103,خانه و ویلا,تهران ولنجک,ارائه,۱۳۸۸,مشاور املاک,دو,۱۴۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۳٫۰۰۰٫۰۰۰ تومان
104,خانه و ویلا,تهران قرچک,ارائه,۱۳۹۴,شخصی,یک,۸۰,۷۵٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
105,خانه و ویلا,تهران فشم,ارائه,۱۳۹۴,شخصی,دو,۱۰۰۰,توافقی,توافقی
106,خانه و ویلا,تهران اقدسیه,ارائه,۱۳۹۷,شخصی,سه,۹۰۰,توافقی,توافقی
107,خانه و ویلا,تهران سهروردی جنوبی,ارائه,۱۳۹۲,مشاور املاک,دو,۱۱۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
108,خانه و ویلا,تهران آرژانتین,ارائه,۱۳۸۰,شخصی,چهار,۲۳۰,۲۰۰٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
109,خانه و ویلا,تهران دولاب,ارائه,قبل از ۱۳۷۰,شخصی,یک,۳۵,۳۵٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
110,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,دو,۱۳۵,۱۳۰٫۰۰۰٫۰۰۰ تومان,۱٫۳۰۰٫۰۰۰ تومان
111,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۷۱,شخصی,بدون اتاق,۲۰,۱۰٫۰۰۰٫۰۰۰ تومان,۵۵۰٫۰۰۰ تومان
112,خانه و ویلا,تهران ورامین,ارائه,۱۳۷۸,شخصی,یک,۶۰,۲۵٫۰۰۰٫۰۰۰ تومان,مجانی
113,خانه و ویلا,تهران پرند,ارائه,۱۳۹۰,شخصی,دو,۱۰۳,۴۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
114,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۹۷,مشاور املاک,سه,۳۳۰,توافقی,توافقی
115,خانه و ویلا,تهران سهروردی شمالی,ارائه,۱۳۷۵,مشاور املاک,چهار,۲۵۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۲٫۰۰۰٫۰۰۰ تومان
116,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۷,شخصی,یک,۴۰۰۰,توافقی,توافقی
117,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۰,مشاور املاک,سه,۱۲۵,۱۰۰٫۰۰۰٫۰۰۰ تومان,۴٫۳۰۰٫۰۰۰ تومان
118,خانه و ویلا,تهران پاکدشت,ارائه,۱۳۸۴,شخصی,یک,۹۲,توافقی,توافقی
119,خانه و ویلا,تهران قیطریه,ارائه,۱۳۸۵,مشاور املاک,پنج یا بیشتر,۶۰۰,۶۰۰٫۰۰۰٫۰۰۰ تومان,۲۰٫۰۰۰٫۰۰۰ تومان
120,خانه و ویلا,تهران هاشم‌آباد,ارائه,۱۳۸۰,شخصی,بدون اتاق,۳۸,۴۵٫۰۰۰٫۰۰۰ تومان,مجانی
121,خانه و ویلا,تهران نیاوران,ارائه,۱۳۸۰,مشاور املاک,چهار,۳۰۰,۸۰۰٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
122,خانه و ویلا,تهران هاشم‌آباد,ارائه,۱۳۸۰,شخصی,یک,۶۰,۶۵٫۰۰۰٫۰۰۰ تومان,مجانی
123,خانه و ویلا,تهران پاسداران,ارائه,۱۳۹۸,مشاور املاک,پنج یا بیشتر,۵۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۴۰٫۰۰۰٫۰۰۰ تومان
124,خانه و ویلا,تهران پرند,ارائه,۱۳۸۵,مشاور املاک,سه,۲۲۵,۱۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰ تومان
125,خانه و ویلا,تهران هاشم‌آباد,ارائه,۱۳۸۰,شخصی,دو,۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
126,خانه و ویلا,تهران فشم,ارائه,۱۳۹۵,شخصی,دو,۱۰۰,توافقی,توافقی
127,خانه و ویلا,تهران شهرک گلستان غربی,ارائه,۱۳۹۷,شخصی,دو,۲۰۰۰,توافقی,توافقی
128,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۵,شخصی,یک,۵۰,۳٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
129,خانه و ویلا,تهران شهرک قدس,ارائه,۱۳۹۷,مشاور املاک,دو,۶۷۰,توافقی,توافقی
130,خانه و ویلا,تهران تهران‌سر,ارائه,۱۳۸۰,شخصی,دو,۱۴۰,توافقی,توافقی
131,خانه و ویلا,تهران شاپور,ارائه,قبل از ۱۳۷۰,شخصی,پنج یا بیشتر,۱۴۴,۳۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
132,خانه و ویلا,تهران مسعودیه,ارائه,۱۳۷۵,مشاور املاک,یک,۷۰,۱۵٫۰۰۰٫۰۰۰ تومان,۸۰۰٫۰۰۰ تومان
133,خانه و ویلا,تهران افسریه,ارائه,۱۳۷۲,شخصی,یک,۲۰۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
134,خانه و ویلا,تهران تهران‌سر,ارائه,۱۳۸۰,مشاور املاک,پنج یا بیشتر,۱۴۰,۲۸۰٫۰۰۰٫۰۰۰ تومان,مجانی
135,خانه و ویلا,تهران سلیمانیه,ارائه,۱۳۷۲,شخصی,یک,۷۰,۲۰٫۰۰۰٫۰۰۰ تومان,۱٫۶۵۰٫۰۰۰ تومان
136,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۸,شخصی,دو,۱۶۰۰,توافقی,توافقی
137,خانه و ویلا,تهران شهریار,ارائه,۱۳۸۰,شخصی,یک,۳۰۰۰,توافقی,توافقی
138,خانه و ویلا,تهران شیان,ارائه,۱۳۹۸,شخصی,دو,۱۵۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
139,خانه و ویلا,تهران خزانه,ارائه,۱۳۷۹,شخصی,پنج یا بیشتر,۸۰,۱۶۰٫۰۰۰٫۰۰۰ تومان,مجانی
140,خانه و ویلا,تهران خلیج فارس,ارائه,۱۳۹۸,مشاور املاک,یک,۷۰,۵۰٫۰۰۰٫۰۰۰ تومان,۴۵۰٫۰۰۰ تومان
141,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۸,شخصی,یک,۱۰۰۰,۹۰۰٫۰۰۰ تومان,توافقی
142,خانه و ویلا,تهران زعفرانیه,ارائه,۱۳۹۰,مشاور املاک,سه,۲۵۰,۸۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
143,خانه و ویلا,تهران شهرک کیانشهر,ارائه,۱۳۷۳,مشاور املاک,دو,۱۲۰,۹۵٫۰۰۰٫۰۰۰ تومان,مجانی
144,خانه و ویلا,تهران پیروزی,ارائه,۱۳۷۵,مشاور املاک,سه,۱۴۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
145,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۰,مشاور املاک,سه,۲۰۰,توافقی,توافقی
146,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۰,مشاور املاک,دو,۳۲۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۳۲٫۰۰۰٫۰۰۰ تومان
147,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۷,مشاور املاک,سه,۲۶۰,۲٫۰۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
148,خانه و ویلا,تهران شیخ الرئیس,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۲۵,۱۶۰٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰ تومان
149,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۵,مشاور املاک,پنج یا بیشتر,۷۵۰,۱٫۵۰۰٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰٫۰۰۰ تومان
150,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۶,شخصی,دو,۴۵۰,توافقی,۲۵۰٫۰۰۰ تومان
151,خانه و ویلا,تهران شهر زیبا,ارائه,قبل از ۱۳۷۰,شخصی,دو,۱۱۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
152,خانه و ویلا,تهران تهران‌ویلا,ارائه,۱۳۹۷,شخصی,دو,۵۰۰,توافقی,۷۰۰٫۰۰۰ تومان
153,خانه و ویلا,تهران مشیریه,ارائه,۱۳۷۷,مشاور املاک,دو,۱۲۰,۱۴۰٫۰۰۰٫۰۰۰ تومان,توافقی
154,خانه و ویلا,تهران دروس,ارائه,۱۳۷۱,مشاور املاک,دو,۱۳۰,۳۰۰٫۰۰۰٫۰۰۰ تومان,۶٫۰۰۰٫۰۰۰ تومان
155,خانه و ویلا,تهران تهرانپارس شرقی,ارائه,۱۳۸۲,شخصی,یک,۸۰,۱۸۰٫۰۰۰٫۰۰۰ تومان,توافقی
156,خانه و ویلا,تهران شهریار,ارائه,۱۳۸۵,شخصی,دو,۱۵۷,توافقی,توافقی
157,خانه و ویلا,تهران جنت‌آباد شمالی,ارائه,۱۳۸۴,مشاور املاک,پنج یا بیشتر,۲۰۰,۱۷۰٫۰۰۰٫۰۰۰ تومان,۹٫۰۰۰٫۰۰۰ تومان
158,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۸۱,مشاور املاک,سه,۲۰۰,۲۵۰٫۰۰۰٫۰۰۰ تومان,۱۳٫۰۰۰٫۰۰۰ تومان
159,خانه و ویلا,تهران علم و صنعت,ارائه,قبل از ۱۳۷۰,مشاور املاک,چهار,۲۴۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,۷٫۰۰۰٫۰۰۰ تومان
